gene_name,rank,max_abs_coef,dominant_class,dominant_coef,BRCA,COAD,KIRC,LUAD
gene_15898,1,0.08160696544524136,LUAD,0.08160696544524136,-0.04955162688276531,-0.017696531161921054,-0.004160848929698635,0.08160696544524136
gene_6594,2,0.061479321479926456,LUAD,0.061479321479926456,-0.06143479866089938,0.0143669247345421,-0.006590108728766312,0.061479321479926456
gene_7964,3,0.05376356807763064,BRCA,-0.05376356807763064,-0.05376356807763064,0.0037959166019640744,0.019396333847646614,0.032330865635240305
gene_2318,4,0.05336198264607891,BRCA,-0.05336198264607891,-0.05336198264607891,0.011315035725497337,-0.010345560481767177,0.05313445015810919
gene_357,5,0.05127787693713882,BRCA,0.05127787693713882,0.05127787693713882,-0.0022250830632548355,-0.00623297827963488,-0.038300179466755506
gene_15895,6,0.05072905025729357,LUAD,0.05072905025729357,-0.022512796798570267,-0.012469168822979177,-0.010782122136068766,0.05072905025729357
gene_5578,7,0.0493155219967582,BRCA,0.0493155219967582,0.0493155219967582,-0.0031028840399948444,-0.0017547601477625745,-0.03950105530711182
gene_8024,8,0.04896563303182741,BRCA,0.04896563303182741,0.04896563303182741,-0.006077293639076486,0.011269067668031246,-0.044101132312185085
gene_15896,9,0.04861553833189715,LUAD,0.04861553833189715,-0.01726042982962699,-0.018876562863417226,-0.008512859470496932,0.04861553833189715
gene_15301,10,0.04776539377973716,BRCA,-0.04776539377973716,-0.04776539377973716,0.0011721310062151205,0.010677948177390761,0.018889845679457222
gene_15591,11,0.0475755117541583,LUAD,0.0475755117541583,-0.020567988212612385,-0.014834873591676291,-0.006200533215077907,0.0475755117541583
gene_9652,12,0.04676086493608307,BRCA,0.04676086493608307,0.04676086493608307,-0.007376117455306508,-0.008929448995510968,-0.03185890603377178
gene_15899,13,0.0466639757547591,LUAD,0.0466639757547591,-0.018778146293613723,-0.016137445236513955,-0.006081747549199437,0.0466639757547591
gene_5017,14,0.04558223399710052,LUAD,0.04558223399710052,-0.031090592473257406,0.009503976571451422,-0.014997384599698169,0.04558223399710052
gene_16283,15,0.04554260739887881,LUAD,0.04554260739887881,-0.018490360711021097,-0.02353181442325648,0.003732720998996117,0.04554260739887881
gene_15668,16,0.04449513056651863,LUAD,0.04449513056651863,-0.021331255747256764,0.0031741984228941325,-0.017448571655403707,0.04449513056651863
gene_15999,17,0.043976588602996025,BRCA,0.043976588602996025,0.043976588602996025,-0.00015870014344007374,-0.005551872907438871,-0.03460200936291177
gene_545,18,0.04201134184891307,BRCA,0.04201134184891307,0.04201134184891307,-0.0073392202302836025,-0.011223015404846388,-0.030601742547001383
gene_11762,19,0.041732483094533084,BRCA,0.041732483094533084,0.041732483094533084,-0.0072467669251573275,-0.012479738072098456,-0.03795392100083976
gene_9176,20,0.04097637215392867,PRAD,0.04097637215392867,-0.0041383492888424685,-0.0045364797179298436,-0.011362217813806398,-0.02093932533335867
gene_8032,21,0.04079631451675394,BRCA,0.04079631451675394,0.04079631451675394,-0.007612532684760432,0.0037918284301937406,-0.029763768467801544
gene_3439,22,0.039817951256635,KIRC,0.039817951256635,-0.015298125914784248,-0.0007900977150217367,0.039817951256635,-0.013125260770532603
gene_4773,23,0.03962599232316676,BRCA,-0.03962599232316676,-0.03962599232316676,0.0007016165587410438,0.012951590679004168,0.012954138877540367
gene_8034,24,0.039225185755784035,LUAD,-0.039225185755784035,0.021042082818959747,0.007898891180864759,0.007035152016685636,-0.039225185755784035
gene_8014,25,0.03895708572455719,LUAD,-0.03895708572455719,0.021015870574938353,0.011840087269213151,-0.01677469404165029,-0.03895708572455719
gene_10279,26,0.038427496861880205,BRCA,0.038427496861880205,0.038427496861880205,0.005586966653394323,-0.013507786500671066,-0.01975082304589378
gene_11903,27,0.03837357232288095,LUAD,0.03837357232288095,-0.01244211933779653,-0.010938214828055463,-0.01258897280074013,0.03837357232288095
gene_13517,28,0.038132642362122555,LUAD,-0.038132642362122555,0.03148672373241747,0.010257092673283154,-0.02199067106534235,-0.038132642362122555
gene_9175,29,0.037974842380227025,PRAD,0.037974842380227025,0.009111680825159646,-0.008994159423043071,-0.009961322260252592,-0.028131041522100747
gene_8891,30,0.0375471366814048,BRCA,-0.0375471366814048,-0.0375471366814048,0.0012709019479652717,0.01040697008143611,0.0121722511349146
gene_16372,31,0.03719837512303283,BRCA,-0.03719837512303283,-0.03719837512303283,-0.011600320793269255,0.010905192666836542,0.027256821426465423
gene_13639,32,0.03668339678660748,LUAD,0.03668339678660748,-0.015361039760872395,-0.01048902073786135,-0.005796126577350242,0.03668339678660748
gene_6734,33,0.0364632004821793,BRCA,0.0364632004821793,0.0364632004821793,0.0062406552138917736,-0.01894842486342324,-0.030247641579341792
gene_5576,34,0.03639131486174082,LUAD,-0.03639131486174082,0.024944256205666045,-0.006158003664738482,0.020477842874013302,-0.03639131486174082
gene_9177,35,0.036102304410190474,LUAD,-0.036102304410190474,0.020614212355319392,-0.00463980532460174,-0.006559322640021938,-0.036102304410190474
gene_1735,36,0.03587756650791342,LUAD,-0.03587756650791342,0.01769224909290078,0.019380717370594294,0.006237141251514863,-0.03587756650791342
gene_19296,37,0.03582573478393943,BRCA,-0.03582573478393943,-0.03582573478393943,-0.0012682861746223183,0.010475646275378956,0.01171425368868059
gene_17905,38,0.03563185477141962,BRCA,0.03563185477141962,0.03563185477141962,-0.004841489659162741,-0.005156898834462528,-0.01950176834416298
gene_11920,39,0.035628684655632285,BRCA,-0.035628684655632285,-0.035628684655632285,-0.0025604728834084335,0.009988903398568028,0.017269032631860942
gene_5727,40,0.03549528532772199,BRCA,0.03549528532772199,0.03549528532772199,-0.013075751907506913,-0.001076653731570583,-0.023156227417930504
gene_15897,41,0.03501525466704805,LUAD,0.03501525466704805,-0.014190627558866152,-0.014976530536905862,-0.016153277278148286,0.03501525466704805
gene_6733,42,0.03501394309189369,KIRC,0.03501394309189369,-0.007304273688023857,-0.008014215364033133,0.03501394309189369,-0.010611042304452959
gene_8031,43,0.03492972521076435,BRCA,0.03492972521076435,0.03492972521076435,-0.005525050053835661,0.005134855175027911,-0.02695683641657517
gene_18753,44,0.03447186961208289,LUAD,-0.03447186961208289,0.028107703035817985,-0.009105766402758852,-0.0046849139110442415,-0.03447186961208289
gene_15577,45,0.03419460217209779,LUAD,0.03419460217209779,-0.01376096874136352,-0.0038092958705832295,-0.0092888182547122,0.03419460217209779
